0,1
唐任远,    电气工程专家，主要从事稀土永磁电机研究。1931年6月出生于上海市。1952年毕业于上海交通大学，获学士学位。     2001年当选中国工程院院士。
王浚,    我国著名人机与环境工程和空调制冷技术专家，主要从事环境控制、环境模拟、热防护与控制、空调与制冷、人机环深度融合技术研究。1935年7月出生于山西省孝义市。1959年毕业于北京航空学院（5年制，现北京航空航天大学），获学士学位。     2001年当选中国工程院院士。
汪顺亭,    惯性技术与导航设备专家，主要从事高精度、长航时导航技术研究。1935年1月出生于辽宁省大连市。1962年毕业于原苏联莫斯科包曼国立技术大学，获硕士学位。     1995年当选中国工程院院士。
王兴治,    制导技术专家，主要从事制导兵器研究。1935年9月出生于辽宁省辽阳市。1963年毕业于中国人民解放军军事工程学院，获硕士学位。     1995年当选中国工程院院士。
王永志,    航天技术专家，主要从事航天技术、火箭技术研究。1932年11月出生于辽宁昌图县。1961年毕业于莫斯科航空学院，获工程师称号，2000年获俄罗斯莫斯科国立航空学院荣誉博士学位。     1994年当选中国工程院院士。
汪槱生,    电力电子及控制设备专家，主要从事电力电子技术研究。1928年8月出生于浙江省杭州市。1950年毕业于浙江大学，获学士学位。     1994年当选中国工程院院士。
王玉明,    机械设计及理论专家，主要从事流体密封工程研究开发。1941年1月出生于吉林省梨树县。1965年毕业于清华大学动力机械系燃气轮机专业六年制本科。     2003年当选中国工程院院士。
温俊峰,    航空发动机设计专家，主要从事航空发动机设计研究。1929年4月出生于内蒙古自治区五原县。1956年毕业于北京航空学院，研究生毕业。     1997年当选中国工程院院士。
吴有生,    船舶力学及船舶与海洋装备技术专家，主要从事流固耦合力学、海洋装备总体性能及总体设计技术研究。原籍浙江省嵊县，1942年4月出生于甘肃省兰州市。1967年清华大学工程力学研究生毕业，1984年获英国伦敦布鲁纳尔大学博士学位。     1994年当选中国工程院院士。
谢友柏,    机械学设计及理论、摩擦学专家，主要从事设计科学领域的研究。1933年9月出生于上海市。1955年毕于交通大学内燃机制造专业。     1994年当选中国工程院院士。
徐德民,    兵器科学技术与无人水下航行技术专家，主要从事水中兵器与自主水下航行器领域的教学和科研工作。1937年11月生于陕西省三原县，1964年西北工业大学研究生毕业。     2005年当选中国工程院院士。
徐芑南,    深潜器技术专家，主要从事各型无人与载人深海潜水器技术研究与装备研制工作。1936年3月出生于浙江省宁波市。1958年毕业于上海交通大学造船系，获工学学士学位。     2013年当选中国工程院院士。
徐志磊,    工程设计专家，主要从事设计学研究。1930年8月出生于上海市。1952年毕业于上海大同大学。     2001年当选中国工程院院士。
杨凤田,    飞机总体设计专家，主要从事飞机总体设计、新能源飞机、通用航空研究。1941年6月出生于辽宁省义县。1964年毕业于哈尔滨军事工程学院。     2007年当选中国工程院院士。
杨绍卿,    外弹道学与智能弹药武器系统工程技术专家，主要从事外弹道学与智能弹药武器系统的理论和工程技术工作。1941年2月出生于辽宁省康平县。1967年毕业于北京大学物理系。     2011年当选中国工程院院士。
杨士莪,    水声工程学专家，主要从事水声工程研究。1931年8月出生于天津市。1950年肄业于清华大学。     1995年当选中国工程院院士。
于本水,    航空宇航科学与技术专家，主要从事空天防御技术研究。1934年5月出生于吉林省长春市九台区。1960年毕业于俄罗斯莫斯科航空学院，获工程师学位。     2001年当选中国工程院院士。
臧克茂,    装甲车辆电气自动化专家，主要从事装甲车辆电气自动化技术的研究。1932年1月出生于江苏省常州市。1955年毕业于浙江大学电机系。     2007年当选中国工程院院士。
曾广商,    飞行器导航与控制技术专家，主要从事运载火箭和液体、固体弹道导弹等飞行执行技术的研究和产品研制。1935年7月出生于湖南省长沙市。1959年毕业于北京航空学院（现北京航空航天大学）航空自动控制系，获学士学位。     1999年当选中国工程院院士。
张福泽,    飞机寿命专家，主要从事飞机寿命研究。1936年3月出生于辽宁省岫岩县。1962年毕业于北京航空学院，获学士学位。     1995年当选中国工程院院士。
张贵田,    航天液体火箭发动机专家，主要从事我国航天液体火箭发动机的研究。1931年12月出生于河北省藁城县。1961年毕业于莫斯科航空学院液体火箭发动机专业，获学士学位。     1995年当选中国工程院院士。
张立同,    髙温复合材料专家，主要从事纤维增强陶瓷基复合材料及其制备技术与应用研究。1938年4月出生于重庆市。1961年毕业于西北工业大学。     1995年当选中国工程院院士。
张彦仲,    航空系统工程及信号处理专家，主要从事振动、信号处理与航空系统工程研究。1940年3月出生于陕西省三原县。1962年毕业于西北大学；1984年毕业于英国剑桥大学，获博士（PhD）学位。     2001年当选中国工程院院士。
赵煦,    无人驾驶飞机专家，主要从事无人驾驶飞机研究。1938年9月出生于湖南省浏阳市。1964年毕业于北京航空航天学院飞行力学及控制专业，获学士学位。     2001年当选中国工程院院士。
钟掘,    机械工程专家，主要从事装备制造行业研究。1936年9月出生于江西省南昌市。1960年毕业于北京钢铁工业学院，获学士学位。     1995年当选中国工程院院士。
钟群鹏,    机械（电）失效分析预测预防专家，主要从事金属材料的断裂失效与安全评定、早期检测与治愈机制、失效哲学理念与安全管理系统等方面的研究工作。1934年10月出生于浙江上虞。1957年研究生毕业于北京航空学院（北京航空航天大学前身）。     1999年当选中国工程院院士。
朱能鸿,    朱能鸿，天文光学望远镜专家，主要从事天文仪器与方法研究。1939年11月出生于上海市。1960年毕业于同济大学，获工学学士学位。     1995年当选中国工程院院士。
朱英富,    舰船工程专家，主要从事船舶工程研究。1941年7月出生于上海市，1963年上海交通大学本科毕业，1966年上海交通大学研究生毕业。     2011年当选工程院院士。
柴天佑,    控制理论与控制工程专家，主要从事复杂工业过程控制、优化和综合自动化与智能化的基础研究与工程技术研究。1947年11月出生于甘肃省兰州市。1985年毕业于东北工学院，获博士学位。     2003年当选中国工程院院士。
陈纯,    计算机应用专家，主要从事大数据、人工智能和区块链等技术的研究。1955年12月出生于浙江省象山县。1990年毕业于浙江大学，获博士学位。     2015年当选中国工程院院士。
陈杰,    控制理论与控制工程专家，主要从事动态环境下复杂系统的多指标优化与控制、多智能体协同控制的研究。1965年7月出生于福建省福清市。2001年毕业于北京理工大学，获博士学位。     2017年当选中国工程院院士。
陈志杰,    空中交通管理系统技术专家，主要从事空中交通管理系统技术研究与工程实践。1963年1月出生于广东省梅县。     2006年毕业于空军工程大学，获博士学位。     2011年当选中国工程院院士。
陈左宁,    计算机工程技术专家，主要从事计算机体系结构和系统软件研究。1957年10月出生于北京市。1999年毕业于浙江大学计算机应用技术专业，获硕士学位。     2001年当选中国工程院院士。
戴浩,    指挥与控制系统领域专家，主要从事指挥与控制系统理论研究、指挥信息系统总体设计与工程建设。1945年8月出生于江苏省阜宁县。1968年毕业于清华大学，1982年获硕士学位。     2005年当选中国工程院院士。
戴琼海,    自动控制学专家，主要从事智能科学与技术、成像与脑认知研究。1964年12月出生于上海市。1996年毕业于东北大学，获博士学位。     2017年当选中国工程院院士。
邓中翰,    微电子学专家，主要从事芯片设计技术研究。1968年09月出生于江苏省南京市。1997年毕业于加州大学伯克利分校，获博士学位。     2009年当选中国工程院院士。
丁文华,    广播电视技术专家，主要从事广播电视技术、多媒体信息处理和计算机网络工程应用研究。1956年4月出生于北京市。1982年毕业于中国传媒大学（原北京广播学院）。     2013年当选中国工程院院士。
段宝岩,    电子机械工程专家，主要从事高端电子装备机电耦合技术研究。1955年2月出生于河北省冀州市。1989年毕业于西安电子科技大学，获博士学位。     2011年当选中国工程院院士。
樊邦奎,    无人机侦察技术专家，主要从事无人机侦察研究。1958年9月出生于安徽省滁州市。1997年毕业于北京理工大学，获博士学位。     2015年当选中国工程院院士。
方滨兴,    网络空间安全专家，主要从事网络与信息安全技术研究。1960年7月出生于黑龙江省哈尔滨市。1989年毕业于哈尔滨工业大学，获博士学位。     2005年当选中国工程院院士。
费爱国,    指挥信息系统和数据链专家，主要从事数据链和指挥信息系统技术研究。1955年7月出生于江苏省清江市。2004年毕业于北京科技大学，获博士学位。     2013年当选中国工程院院士。
高文,    计算机专家，主要从事人工智能应用和多媒体技术、计算机视觉、模式识别与图像处理、虚拟现实等方面的研究。1956年3月出生于辽宁省大连市。1991年毕业于日本东京大学，获博士学位。     2011年当选中国工程院院士。
桂卫华,    自动控制专家，主要从事流程工业生产过程控制理论、技术和工程应用研究。1950年8月出生于湖北省武汉市。1981年毕业于中南矿冶学院（现中南大学），获硕士学位。     2013年当选中国工程院院士。
何友,    信息融合专家，主要从事信号检测、信息融合、智能技术与应用研究。1956年10月出生于吉林省磐石市。1997年毕业于清华大学，获博士学位。     2013年当选中国工程院院士。
江碧涛,    航天遥感领域专家，主要从事多星多传感器协同探测及应用技术研究。1967年8月出生于安徽省六安市。2007年毕业于中国科学院空间科学与应用研究中心，获博士学位。     2021年当选中国工程院院士。
蒋昌俊,    计算机领域专家，主要从事网络计算方面的研究。1962年5月出生于安徽省安庆市。1995年毕业于中科院自动化研究所，获博士学位。     2021年当选中国工程院院士。
姜会林,    应用光学专家，主要从事应用光学技术研究。1945年7月出生于辽宁省沈阳市。1987年获得中国科学院长春光学精密机械与物理研究所博士学位。     2015年当选中国工程院院士。
孔志印,    信息安全技术专家，主要从事军事信息网络安全保密技术研究。1964年8月出生于河北省沙河市。2007年毕业于解放军信息工程大学，获博士学位。     2021年当选中国工程院院士。
