姓名,出生地,毕业院校,当选年份
杜祥琬,河南省南阳市（籍贯开封）,莫斯科工程物理学院,1997
杜祥琬,河南省南阳市（籍贯开封）,莫斯科工程物理学院,1997
钟训正,湖南省武冈县,南京大学,1997
顾冠群,江苏省常州市,南京工学院,1997
黄其励,辽宁省营口市,南京工学院,1997
张齐生,浙江省淳安县,南京林学院,1997
许健民,上海市,南京气象学院,1997
陈灏珠,广东省江门市新会县,前国立中正医学院,1997
陈毓川,浙江省平湖市,前苏联顿湼茨理工大学,1997
李文华,山东省东营市,前苏联科学院,1997
梁晋才,北京市,前苏联莫斯科包曼工学院,1997
黄志强,广东省新会市,前中正医学院,1997
童铠,江苏省泰州市,青岛山东大学,1997
徐大懋,安徽省当涂县,清华大学,1997
李龙土,福建省南安市,清华大学,1997
高伯龙,广西省南宁市,清华大学,1997
马国馨,山东省济南市,清华大学,1997
牛憨笨,山西省壶关县,清华大学,1997
顾国彪,上海市,清华大学,1997
廖振鹏,四川省成都市,清华大学,1997
陈肇元,浙江省宁波市,清华大学,1997
方秦汉,浙江省台州市黄岩区,清华大学,1997
张子仪,山西,日本京都大学,1997
钱正英,上海,上海大同大学,1997
赵国藩,山西省汾阳,上海交通大学,1997
童志鹏,浙江省慈溪县,上海交通大学,1997
杜庆华,浙江省杭州市,上海交通大学,1997
沈闻孙,浙江省嘉兴市,上海交通大学,1997
徐秉汉,浙江省鄞县,上海交通大学,1997
曾恒一,重庆市,上海交通大学,1997
孙晋良,上海市,上海科学技术大学,1997
张金哲,天津市,上海医学院,1997
沈渔邨,浙江省杭州市,苏联医学科学院,1997
钱清泉,江苏省丹阳市,唐山铁道学院,1997
张高勇,湖北省咸宁市,武汉大学,1997
潘垣,湖北宜昌,武汉大学,1997
范云六,"湖南省长沙市,1952年毕业于武汉大学农学院农业化学系,1960年毕业于苏联列宁格勒大学生物系微生物学专业,获苏联列宁格勒大学生物系副博士学位",武汉大学,1997
崔崑,山东省济南市,武汉大学,1997
梁骏吾,武汉,武汉大学,1997
胡光镇,江苏省松江市（现属上海市）,西安交通大学,1997
李鹤林,陕西省汉中市,西安交通大学,1997
李乐民,浙江省吴兴县,西安交通大学,1997
雷廷权,陕西省西安市,西北工学院,1997
李振岐,河北省遵化市,西北农学院,1997
关杰,印度尼西亚,原北京钢铁学院,1997
林华宝,福建莆田,原苏联列宁格勒建筑工程学院,1997
姚绍福,湖南省桃源县,原苏联莫斯科动力学院,1997
董石麟,浙江省杭州市,原苏联莫斯科建工学院,1997
胡见义,北京市,原苏联莫斯科石油学院,1997
金涌,北京市,原苏联乌拉尔工业大学,1997
陈景,云南省大理市,云南大学,1997
胡永康,云南省曲靖市,云南大学,1997
洪伯潜,福建省厦门市,浙江大学,1997
